playlists	tracks
Billies Sleep Sounds	Ultra Sleep Tibetan Music: Sleep Hypnosis, Music for Deep Sleep,Sleep Music with Ocean Sounds and Isochronic Tones,Binaural Beats for Relaxation Alpha Waves,Sleep Music,Mindless Sleep Music,Sleep music,Sleep,Summer Rain Sleep Relaxation Sounds, Pt. 49,Relaxing Rain and Thunder Sound , Sleep Meditation,Reiki Healing Music,Deep Sleep Theta Meditation - Binaural Beats (100 Free Downloads),Deep Sleep, Calming, Relaxing and Soothing Music(Check links on bio to download free music),DreamScape (One Hour of Deep Relaxation Music by SilencioMusic.co.uk)
bb2	♥ ALsaharWasim ♥ حازم الصدير - جمالا ولوو,حط الدبلة وحط الساعة,لو عمري يرجع - ساموزين,ZeeZee Adel - Ebset Nafsk | زيزي عادل - أبسط نفسك,عمرو دياب - يتعلمو,الفرصة بنت جميلة ♥ راكبة عجلة ببدال,كل حياتي - عمرو دياب,محمد المجذوب - رد اعتبار | Mohammed El Majzoub - Rad E3tbar,أغنية "بتضحك عليا" بوسي والليثي من فيلم دماغ تانية للشباب من اتصالات,Marshmello & Amr Diab- Bayen Habeit "In Love" عمرو دياب Marshmello - باين حبيت,Amr Diab-Khalek Fakerny عمرو دياب-خليك فاكرنى,Mohamed Mounir - Lama El Nassim | محمد منير - لما النسيم,محمود العسيلي - بعدتي ومبعدتيش (فيديو كليب حصري) _ 2017_ Mahmoud El Esseily - Bea'dty We Maba'dtish ( 128kbps ).mp3,Zap Tharwat Ft. Amina Khalil - Nour | زاب ثروت و امينة خليل - نور,عمرو دياب-لو كان يرضيك
bdroom jass	Bint El Shalabia - Jean Marie Riachi,Abir Nehme - Hymne À L'amour,Jean-Marie Riachi - Fly me to the moon,حنين - إمتى هتعرف,Karim Ziad - Hada Lezman - كريم زياد - هادا الزِمان,Salma - Walla3t Kteer | سلمى - ولّعت كتير,ريما خشيش - من سحر عيونك,للحضن أصول - مي رضوان,وسط البلد - عانقيني,كاميليا جبران - رفيف,حنين - يا حبيبى تعالى إلحقنى,Baghdad Choby,TARABBAND - Hanna El Sikran,John Coltrane - Blue Train (From The Rough Guide To John Coltrane),Chicago Tonight (w/vocal)
Blues
Bob Bulder favorites	Success Spreads like Wildfire | Harvard Business School,Beautiful Life (Radio Edit) [feat. Cindy Alma]
brokk
B	Dats My Bae,Future - Racks Blue (FAST),Movie,Kevin Gates - One Thing (fast),11 - Kevin Gates - Fast Lane,Kevin Gates X Imagine That FAST,NBA Youngboy x Kevin Gates - Head On (FAST),Kevin Gates - Wassup With It (Fast),KEVIN GATES - KNOW BETTER  ( NEW HOT SONG FROM THE SUICIDE SQUAD MOVIE ).mp3,NBA YoungBoy x Kevin Gates - 2 Hands (FAST),NBA YoungBoy - Head On Ft. Kevin Gates (Fast),Juicy J,Kevin Gates,Future Sage The Gemini  -  Payback Fast &amp; Furious 7 Soundtrack [mp3clan.com],Tunnel Vision,Drowning (feat. Kodak Black),Too Many Years Ft. PNB Rock - Prod. By J Gramm
Best of Jazz songs	Louis Armstrong - La Vie En Rose,Louis Armstrong & Ella Fitzgerald - Love Is Here To Stay,Ray Charles - I Got A Woman,Ray Charles - What'd I say,Louis Armstrong - Hello, Dolly ! (ProleteR tribute),Nat King Cole - Autumn Leaves & Oud Cover (by Ersin Ersavas),Unforgettable (Nat King Cole),Ella Fitzgerald & Louis Armstrong - Can't We Be Friends,Come Fly With Me - Frank Sinatra,L.O.V.E - Nat King Cole,Louis Armstrong - Kiss of fire,Nat King Cole Sings When I Fall In Love,Dance Me To The End of Love Leonard Cohen,Nat King Cole - Smile,Frank Sinatra - Only The Lonely
Best	04 Drugs You Should Try It,Travis Scott ft Lil Uzi vert - RaRa,A man,Bake Sale (feat. Travis Scott),01 Days Before Rodeo   The Prayer,Hell of a Night,Uptown ft. A$AP Ferg,KELLY PRICE feat. TRAVIS SCOTT,06 Skyfall (ft. Young Thug),Devil In A White Dress,nessly - season ft lil yachty (prod outtatown),Smoke Chambers,Travis Scott - Yeah Yeah (Feat. Young Thug)[Bass Boosted],Swervo,Travis Scott - The Hooch
Brian's House with Brian Haner	Brian's House #1: The Premiere,Brian's House #2: Holiday Edition,Brian's House #3: Goodbye 2011!,Brian's House #4: Welcoming 2012 / Fan Emails / On The Road With Brian,Brian's House #5: Dicks In The News / Fan Emails / On The Road With Brian,Brian's House #6: On The Road With Brian: European Tour / Dicks In The News,Brian's House #7: Rectum? Damn Near Killed 'Em,Brian's House #8: Avenged Sevenfold - One Big Happy Family,Brian's House #9: I Was Born With Female Genitalia,Brian's House #10: Your Dad's A Star. You Suck.
BodyBuilding/Workout  Motivation #4	Splashing Around,Logic - On The Low (ft. Kid Ink and Trinidad James) [prod. Swiff D],Mindless Behavior - Keep Her On The Low,For The Low Pt. 2 feat. Wiz Khalifa & Juicy J,Shell Shocked - Kill the Noise & Madsonik w/ Juicy J, Wiz Khalifa, Ty Dolla $ign, Moxie,Recess with Kill The Noise, Fatman Scoop, and Michael Angelakos,Duck Sauce - NRG (Skrillex, Kill The Noise, Milo & Otis Remix),Gym Best Music For Workout vol 2,Madeon - Pay No Mind (ft. Passion Pit),Skyfall (RL Grime & Salva Remix) - Travi$ Scott (Ft. Young Thug),Secrets (feat. Vassy),Laidback Luke Feat. Goodgrip - Rocking With The Best (Laidback Luke 2k15 Mix),Julian Jordan - The Takedown (Original Mix),Instant Party! & QUIX - Caviar,Figure - Paper Trail (Original Mix)
Blood walk	Kamikaze,Lil Baby, Gunna - Drip Too Hard,Foot Fungus,Nuketown (feat. Juice WRLD),Shake It Up,Pull Up,Calvin Cambridge,Anti,YBN Nahmir & YBN Almighty Jay - Porsches In The Rain,a lot,$$$,Going Bad (feat. Drake),WAKA ft A Boogie wit da Hoodie,Armed And Dangerous,Lil Yachty - Yacht Club (feat. Juice WRLD)
Black Sabbath	Black Sabbath - The Wizard (Extended Mix),Black Sabbath "God Is Dead?",Black Sabbath - N.I.B,Children of the Grave (2014 Remaster),7. Snowblind (Black Sabbath),Black Sabbath - 13 - 02 God Is Dead
Built By Titan	Blind (ft. Young Brother),The Darkness (ft. Srvcina),Heart & Soul (BuiltByTitan.com),Collide (BuiltByTitan.com)
BEST SONGS OF 2014	Or Nah (Remix Feat. The Weeknd),Butterfly Effect,What So Not - High You Are (Branchez Remix),Riptide,Lorde - Tennis Court (Flume Remix),Ed Sheeran - I See Fire (Kygo Remix),The Weeknd — Often,Disclosure - Help Me Lose My Mind (Mazde Remix),Take Ü There (feat. Kiesza) (Zeds Dead Remix),Big Sean - I Don't Fuck With You (feat. E-40),ZHU - Paradise Awaits. Part 2 Ft. Goldlink,Vanic X K.Flay - Make Me Fade,Vacant Space,Brain,Sia - Chandelier (Addal Edit)
Bathing	KSB - Socarnival [2015 STX/TNT Carnival Release],KM1  - Boat Ride 2016,Rock City - For The Sket Dem,Popcaan ft Shaney Blaxx  Gyal gimme | Official Audio  SEP 2018,Property (feat. Kid Ink),R.City - Fete You,Maleek Berry - Kontrol @maleekberry,Colouring This Life,Popcaan - Addicted (Produced by Dubbel Dutch),Hit Deh Sees,SISA (Lō-ud) Ft Kylo,Kylo & Stylee Band - TTAIAC (STX Carnival 2016),Kylo & Stylee Band | Jiggle Yo Batty | STX Carnival 2016-2017,Kylo & Stylee Band | Cyan Stop Dancin' | STX Carnival 2016-2017,Kylo & Stylee Band - No Drama (Explicit Version)[2016]
Best #Number 1 Workout Playlist--#2	Hyper Crush - Kick Us Out (R3hab & DJ Frank E Remix),The Way We Ball (Crizzly Remix) by Lil Flip,Tiesto & Hardwell - Zero 76,MEGA MASH-UP (MGMT, Daft Punk, Passion Pit, Gorillaz, Bob Marley),F**kin' Problems (Crizzly Remix),Throttle - Inspire (Free Mashup Download),Dimitri Vegas & Moguai & Like Mike - Mammoth (Heroes & Villains Vs. Carnage Festival Trap Remix),Thomas Gold & Borgeous - Beast (Original Mix),Dillon Francis - All That (feat. Twista & Rej3ctz),Chromeo - Jealous (Dillon Francis Remix),David Guetta - Dangerous (Steve Aoki Remix),Steve Aoki Feat. Waka Flocka Flame - Rage The Night Away (Flosstradamus Remix),Tuesday,No Hands (Trap Remix),Calvin Harris - Drinking From the Bottle (Feat. Tinie Tempah)
bangerz	Calvin Harris - Summer (Extended),Drugs,Martin Garrix - Animals (Will Sparks Remix) FREE DOWNLOAD,Kid Cudi - Pursuit of Happiness (Steve Aoki Remix),Promiscuous (Basic Tape Remix),Far Alone X In Your Life (Alex Bamford Edit),Heads Will Roll,Earth, Wind & Fire - September (Like the Movies Remix),Afroman   Because I Got High  (Orginial),Love$ick (feat. A$AP Rocky),MGMT- Electric Feel,Galantis - Runaway (U & I) (Dillon Francis Remix),g eazy - far alone x flume - insane,Will Sparks Ft. Luciana - Sick Like That,All Night (feat. Knox Fortune)
beauty inside	call me. [w/ keshi],ineedyou.,Ay Girl Feat. THAMA,Time (Avail. on Spotify and Apple Music),as long as it takes you,her (on spotify and apple music),JUNE - Lonely(Feat. P.odd) Demo 2,limbo (w/ haventseenyou , hoiwave),7teen (ON SPOTIFY AND APPLE MUSIC),sunkissed (ft. pluto & lovemark),shinjuku,Cayman Islands (cover),she likes me but i dont like her back.,ok2222 x keshi - beside you,Sugar n Spice
Becca	Bruno Mars - If I Knew,Bruno Mars - Gorilla,Into You Remix feat. Mac Miller,Bruno Mars - Straight up & Down,Ariana Grande - Side To Side Ft. Nicki Minaj (Remix),Bruno Mars - Moonshine,Bruno Mars - Chunky,Bruno Mars - Money Make Her Smile,Bruno Mars - Finesse,Bruno Mars - Show Me,Bruno Mars - Perm,Bruno Mars - Too Good to Say Goodbye,Ariana Grande "Love Me Harder" (Radio Edit),Bruno Mars - Calling All My Lovelies,Bruno Mars - Natalie
brokk
bbylon	Future House Poison | Ableton Template (+ Samples, Stems & Sylenth1 & Serum Presets),Melbourne Bounce Budge | Ableton Template (+ Samples, Stems & Sylenth1),Melodic Dubstep Pepper | Ableton Template (+ Samples, Stems & Serum Presets),Future House Kneel | Ableton Template (+ Samples, Stems & Sylenth1 & Serum Presets),Dubstep Monster | Ableton Template (+ Samples, Stems & Serum Presets),Tech House Wrestle | Ableton Template (+ Samples, Stems & Sylenth1 Presets),Psytrance Desert Wings | Ableton Template (+ Samples, Stems & Serum Presets),Future House Stick | Ableton Template (+ Samples, Serum, Stems & Sylenth1 Presets),Future EDM Vision | Ableton Template (+ Samples, Stems & Massive Presets),Future House Kneel | FL Studio Template (+ Samples, Stems & Sylenth1),Future House Poison | FL Studio Template (+ Samples, Stems & Serum Presets),Melbourne Bounce Fortune | FL Studio Template (+ Samples, Stems & Sylenth1 Presets),Psytrance Lune | Ableton Template (+ Samples, Stems & Sylenth1 Presets),Tech House Illusion | Ableton Template (+ Samples, Stems & Sylenth1 & Massive Presets),Future House Brush  | Ableton Template (+ Samples, Stems & Sylenth1 & Serum Presets)
B	Dats My Bae,Future - Racks Blue (FAST),Movie,Kevin Gates - One Thing (fast),11 - Kevin Gates - Fast Lane,Kevin Gates X Imagine That FAST,NBA Youngboy x Kevin Gates - Head On (FAST),Kevin Gates - Wassup With It (Fast),KEVIN GATES - KNOW BETTER  ( NEW HOT SONG FROM THE SUICIDE SQUAD MOVIE ).mp3,NBA YoungBoy x Kevin Gates - 2 Hands (FAST),NBA YoungBoy - Head On Ft. Kevin Gates (Fast),Juicy J,Kevin Gates,Future Sage The Gemini  -  Payback Fast &amp; Furious 7 Soundtrack [mp3clan.com],Tunnel Vision,Drowning (feat. Kodak Black),Too Many Years Ft. PNB Rock - Prod. By J Gramm
Best of Jazz songs	Louis Armstrong - La Vie En Rose,Louis Armstrong & Ella Fitzgerald - Love Is Here To Stay,Ray Charles - I Got A Woman,Ray Charles - What'd I say,Louis Armstrong - Hello, Dolly ! (ProleteR tribute),Nat King Cole - Autumn Leaves & Oud Cover (by Ersin Ersavas),Unforgettable (Nat King Cole),Ella Fitzgerald & Louis Armstrong - Can't We Be Friends,Come Fly With Me - Frank Sinatra,L.O.V.E - Nat King Cole,Louis Armstrong - Kiss of fire,Nat King Cole Sings When I Fall In Love,Dance Me To The End of Love Leonard Cohen,Nat King Cole - Smile,Frank Sinatra - Only The Lonely
biffy clyro	The Rain,Thundermonster,Milky,Fingerhut,Euphoria,Watch,City of Dreadful Night,Sorry and Thanks,A Tragic World Record,Wooden Souvenir,Feverish,Fingers and Toes,A Lonely Crowd,No I'm Not Down,Break a Butterfly on a Wheel
Best	04 Drugs You Should Try It,Travis Scott ft Lil Uzi vert - RaRa,A man,Bake Sale (feat. Travis Scott),01 Days Before Rodeo   The Prayer,Hell of a Night,Uptown ft. A$AP Ferg,KELLY PRICE feat. TRAVIS SCOTT,06 Skyfall (ft. Young Thug),Devil In A White Dress,nessly - season ft lil yachty (prod outtatown),Smoke Chambers,Travis Scott - Yeah Yeah (Feat. Young Thug)[Bass Boosted],Swervo,Travis Scott - The Hooch
Brian's House with Brian Haner	Brian's House #1: The Premiere,Brian's House #2: Holiday Edition,Brian's House #3: Goodbye 2011!,Brian's House #4: Welcoming 2012 / Fan Emails / On The Road With Brian,Brian's House #5: Dicks In The News / Fan Emails / On The Road With Brian,Brian's House #6: On The Road With Brian: European Tour / Dicks In The News,Brian's House #7: Rectum? Damn Near Killed 'Em,Brian's House #8: Avenged Sevenfold - One Big Happy Family,Brian's House #9: I Was Born With Female Genitalia,Brian's House #10: Your Dad's A Star. You Suck.
Bobby Blakdout	Bobby Blakdout & IKAX - BLAK'D OUT,New World Order,Bobby Blakdout & IKAX - LOCA,Bobby Blakdout & IKAX - Kill The Noise,F.E.M.A.,The End (IS HERE),Bobby Blakdout - F.E.M.A. (Soundwave Remix),K1LLDR01D & Bobby Blakdout - 12 Hours,Wiz Khalifa - Promises (Bobby Blakdout Live Trap Remix),Ash Riser - One More Drink (Bobby Blakdout Bootleg Live Remix),THIS HOUSE BURNS - BOBBY BLAKDOUT,Trapped In Babylon - Bobby Blakdout,Live Trap Mini Mix by Bobby Blakdout,Bobby Blakdout - Get Lit Feat Helluh Lit (PREVIEW),Bobby Blakdout - Cologne (PREVIEW)
BodyBuilding/Workout  Motivation #4	Splashing Around,Logic - On The Low (ft. Kid Ink and Trinidad James) [prod. Swiff D],Mindless Behavior - Keep Her On The Low,For The Low Pt. 2 feat. Wiz Khalifa & Juicy J,Shell Shocked - Kill the Noise & Madsonik w/ Juicy J, Wiz Khalifa, Ty Dolla $ign, Moxie,Recess with Kill The Noise, Fatman Scoop, and Michael Angelakos,Duck Sauce - NRG (Skrillex, Kill The Noise, Milo & Otis Remix),Gym Best Music For Workout vol 2,Madeon - Pay No Mind (ft. Passion Pit),Skyfall (RL Grime & Salva Remix) - Travi$ Scott (Ft. Young Thug),Secrets (feat. Vassy),Laidback Luke Feat. Goodgrip - Rocking With The Best (Laidback Luke 2k15 Mix),Julian Jordan - The Takedown (Original Mix),Instant Party! & QUIX - Caviar,Figure - Paper Trail (Original Mix)
Biffy Clyro	A Headline,Coward,I'm Behind You,Kittens, Cakes and Cuddles,Loneliness,Relief or Fight,Scared of Lots of Everything,Asexual Meat Kitchen,Hermaphrofight,Cracker,But I'm Serious,Umbrella (BBC Radio 1 Live Version),Folding Stars (Demo),Saturday Superhouse (Acoustic Version),Living Is a Problem Because Everything Dies (Demo)
Bass	Hasse de Moor - C.R.A.N.K,Wiz Khalifa- Reefer Party,Montana Of 300 - Air Jordan,Speaker Knockerz - Lonely,Dj Snake vs Upon A Burning Body - Turn Down For What (NIGHTBIRD Remix),Kid Ink feat. Dej Loaf "Be Real" Metal Cover [FREE DOWNLOAD VIA BUY LINK],Marilyn Manson album The Pale Emperor - Deep Six Desperate,Slipknot - The Devil In I,$TYLE$ ~ LOTP Official Anthem #VMGBaby,Gucci Mane ft. Quavo (Migos) - Make Yo Move,iLoveMakonnen Ft. Wiz Khalifa - I Don't Sell Molly No More (Prod By Sonny Digital),Burial (Skrillex & Trollphace Remix),Harder (Original Mix),De La Bass - Going Like,Gravity (ft. G-Eazy)
baby cheeks	Kevin Gates - Pride [Islah],K Camp - 1Hunnid Ft Fetty Wap,Natasha Mosley-Anything,What Is Love - V. Bozeman (Empire Cast),Hello - Adele - Denisia (Bounce Remix),Body (feat. Jeremih),KStylis - DAISY DUKES BACK (MUSIC VIDEO LINK),Reflection Fifth Harmony,Kid Ink - Rewind ft. Akon (Boomistics Moombahton Edit) [CLICK ''Buy'' FOR FREE DOWNLOAD],himwadda - hollaback girl [copy],Snap Yo Fingers, Its Goin Down Ft. Lil Jon, E 40, & Sean Paul,Lil Jon - Bend Ova ft. Tyga (Prod by. Kronic),All I Wanna Do - Meek Mill Feat. Chris Brown & Kevorah (Unreleased),Stuck With U - Ariana Grande & Justin Bieber,Put It On Ya Ft. Chris J
Beats	that "just got home from work" type of beat. (Available on Spotify),beat.tape.1,canti - human music,february,stay the same ~ [only from a dream],BAABAAAP,Strange Impalas,another rainy day,A Story About Time,existence  ( E p ),MC Gels - A1 - Wen I Attack [ruff remix],DISAPPEAR,Flowers,Toynbee Tiles - The Scary Jokes,Jojivlogs aka Filthy Frank, Pink Guy etc. Beat he used in a vlog i looped it cause it was sexy
Borrachera🍺	Se Me Olvidó,De Los Besos Que Te Di,Beele - Loco Audio 🔥,Loco - Beele Audio,Myke Towers - Girl,La Forma En Que Me Miras Remix,Toda(Full Remix)Alex Rose Ft Anuel AA,Zion,Rauw Alejandro,Cazzu,Lyanno Y Lenny Tavarez,Rauw Alejandro - Tattoo,Rauw Alejandro FT Chencho - El Efecto,IMAGINATE - SECH FT DALEX JUSTIN QUILES LENNY TAVAREZ FEID CAZZU,JANGUEO - ALEX ROSE FT RAFA PABON,El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay),Feid Ft Manuel Turizo - BORRAXXA,Hola (Remix),SIGUES CON EL - Arcangel Ft. Sech (Alex Estepa Extended Remix) 95 BPM
Blood walk	Kamikaze,Lil Baby, Gunna - Drip Too Hard,Foot Fungus,Nuketown (feat. Juice WRLD),Shake It Up,Pull Up,Calvin Cambridge,Anti,YBN Nahmir & YBN Almighty Jay - Porsches In The Rain,a lot,$$$,Going Bad (feat. Drake),WAKA ft A Boogie wit da Hoodie,Armed And Dangerous,Lil Yachty - Yacht Club (feat. Juice WRLD)
Black Sabbath	Black Sabbath - The Wizard (Extended Mix),Black Sabbath "God Is Dead?",Black Sabbath - N.I.B,Children of the Grave (2014 Remaster),7. Snowblind (Black Sabbath),Black Sabbath - 13 - 02 God Is Dead
Best Of 2016 | Hip-Hop & Rap	Madeintokyo Uber Everywhere,Bryson Tiller ~ Self Righteous (Prod. By Ayo, Keyz & ENT),Whole Lotta Lovin',Kevin Gates - Really Really,What A Year (Ft. Pharrell Williams & Detail),NO MORE PARTIES IN L.A. FEAT. KENDRICK LAMAR,Wonderful Ft.The Weeknd,Rae Sremmurd - By Chance [Prod. By Mike WiLL Made-It & Resource],A-Team,FACTS (EXPLICIT),Out My Face Ft. T.I. X Shad Da God X London Jae X Young Thug,Up ft Quavo [Prod. By Big Fruit] #KISS3,Say It (Shlohmo Remix),Pass Dat (The Weeknd Remix) - Jeremih + The Weeknd,Waka Flocka x Young Sizzle - New Year
Big K.R.I.T. - Just Last Week (feat. Future)	Big K.R.I.T. - Just Last Week feat. Future (Prod. By Big K.R.I.T.) DIRTY
Built By Titan	Blind (ft. Young Brother),The Darkness (ft. Srvcina),Heart & Soul (BuiltByTitan.com),Collide (BuiltByTitan.com)
BEST SONGS OF 2014	Or Nah (Remix Feat. The Weeknd),Butterfly Effect,What So Not - High You Are (Branchez Remix),Riptide,Lorde - Tennis Court (Flume Remix),Ed Sheeran - I See Fire (Kygo Remix),The Weeknd — Often,Disclosure - Help Me Lose My Mind (Mazde Remix),Take Ü There (feat. Kiesza) (Zeds Dead Remix),Big Sean - I Don't Fuck With You (feat. E-40),ZHU - Paradise Awaits. Part 2 Ft. Goldlink,Vanic X K.Flay - Make Me Fade,Vacant Space,Brain,Sia - Chandelier (Addal Edit)
Big K.R.I.T. - I Got This (Prod. by Big K.R.I.T.)	I Got This (Album Version (Explicit)),I Got This (Album Version (Edited))
Big  K.R.I.T. Production Discography	Juicy J feat. Big K.R.I.T. - Knock U Out (Prod. by Big K.R.I.T.),8Ball & MJG - We Buy Gold (feat. Big K.R.I.T.) [Prod. By Big K.R.I.T.],Ludacris - What U Smokin On (feat. Wiz Khalifa)  [Prod. By Big K.R.I.T.],Berner - Yoko (Remix) (feat. Chris Brown, Wiz Khalifa & Big K.R.I.T.)  [Prod. By Big K.R.I.T.],Freddie Gibbs - Rob Me A Nigga (feat .Alley Boy & Big K.R.I.T.)  [Prod. By Big K.R.I.T.]
BANGERS	Red Dot [Prod.z3n],Beautiful Smile (ft. IDK) [Prod. Saba & daedaePIVOT],can't leave without it,Logic - Break It Down (ft. Jhene Aiko) [prod. C-Sick],XXXTENTACION - Fuck Love  (feat. Trippie Redd),looking for a star (CANT GET YOU OUT MY HEAD) Prod. DIPLO,UKA UKA [Produced by: Oz],Walk,Meek Mill- Jump Out The Face (feat. Future) [Prod. By Metro Boomin & Southside],T'd Up (Prod. Russ),Me Or Us,Kid Cudi - Mr. Rager,Logic ft. Childish Gambino - Driving Ms. Daisy (Prod. by Logic),Z4L (with Bari & Jay2),Frank Ocean - Nights
BTS	방탄소년단 We Are Bulletproof PT1 4 BEGINS Ruff,02. Agust D,03. give it to me,10. so far away (Feat. 수란 (SURAN)),Perfect Man - BTS
Bathing	KSB - Socarnival [2015 STX/TNT Carnival Release],KM1  - Boat Ride 2016,Rock City - For The Sket Dem,Popcaan ft Shaney Blaxx  Gyal gimme | Official Audio  SEP 2018,Property (feat. Kid Ink),R.City - Fete You,Maleek Berry - Kontrol @maleekberry,Colouring This Life,Popcaan - Addicted (Produced by Dubbel Dutch),Hit Deh Sees,SISA (Lō-ud) Ft Kylo,Kylo & Stylee Band - TTAIAC (STX Carnival 2016),Kylo & Stylee Band | Jiggle Yo Batty | STX Carnival 2016-2017,Kylo & Stylee Band | Cyan Stop Dancin' | STX Carnival 2016-2017,Kylo & Stylee Band - No Drama (Explicit Version)[2016]
Big K.R.I.T. Official Singles	The Vent,Country Sh*t (Remix) (Explicit Version) [feat. Ludacris & Bun B],Moon & Stars (feat. Devin The Dude, Curren$y & Killa Kyleon)
Big Pineapple - Another Chance (Keanu Silva Remix)	Big Pineapple - Another Chance (Keanu Silva Remix)
BTS	BTS - HOME,We Dont Talk Anymore PT 2 ; Jimin&JK,BTS - FIRE,BTS - RUN,BTS - Spring Day,BTS - House Of Cards,BTS - War Of Hormones (호르몬 전쟁),BTS - Save ME,BTS - Mikrokosmos,BTS - Intro : Persona, Make It Right,BTS - Dionysus,BTS - Heartbeat,BTS - Boy In luv,[MV] BTS(방탄소년단)   FIRE (불타오르네),Spine Breaker - BTS
BAWSKEE 3.5	HENCH MAFIA,RASPUTIA,GODDONTLIKEUGLY,FIND HIM,STAND,SOLVED THE PROBLEM,NO EVIDENCE,DANGEROUS,FUCKERRBODY,Just Saying,ACT,TOUCHED
Best #Number 1 Workout Playlist--#2	Hyper Crush - Kick Us Out (R3hab & DJ Frank E Remix),The Way We Ball (Crizzly Remix) by Lil Flip,Tiesto & Hardwell - Zero 76,MEGA MASH-UP (MGMT, Daft Punk, Passion Pit, Gorillaz, Bob Marley),F**kin' Problems (Crizzly Remix),Throttle - Inspire (Free Mashup Download),Dimitri Vegas & Moguai & Like Mike - Mammoth (Heroes & Villains Vs. Carnage Festival Trap Remix),Thomas Gold & Borgeous - Beast (Original Mix),Dillon Francis - All That (feat. Twista & Rej3ctz),Chromeo - Jealous (Dillon Francis Remix),David Guetta - Dangerous (Steve Aoki Remix),Steve Aoki Feat. Waka Flocka Flame - Rage The Night Away (Flosstradamus Remix),Tuesday,No Hands (Trap Remix),Calvin Harris - Drinking From the Bottle (Feat. Tinie Tempah)
bangerz	Calvin Harris - Summer (Extended),Drugs,Martin Garrix - Animals (Will Sparks Remix) FREE DOWNLOAD,Kid Cudi - Pursuit of Happiness (Steve Aoki Remix),Promiscuous (Basic Tape Remix),Far Alone X In Your Life (Alex Bamford Edit),Heads Will Roll,Earth, Wind & Fire - September (Like the Movies Remix),Afroman   Because I Got High  (Orginial),Love$ick (feat. A$AP Rocky),MGMT- Electric Feel,Galantis - Runaway (U & I) (Dillon Francis Remix),g eazy - far alone x flume - insane,Will Sparks Ft. Luciana - Sick Like That,All Night (feat. Knox Fortune)
Beats - Part 1	Jay Dee 40,Jay Dee 41,Jay Dee 42,Jay Dee 43,Jay Dee 45,Jay Dee 44,Jay Dee 46,Jay Dee 48,Jay Dee 47,Jay Dee 49,Jay Dee 50,Jay Dee 51,Jay Dee 52,Jay Dee 53,Jay Dee 54
Beats - Part 1	Jay Dee 40,Jay Dee 41,Jay Dee 42,Jay Dee 43,Jay Dee 44,Jay Dee 45,Jay Dee 46,Jay Dee 48,Jay Dee 47,Jay Dee 49,Jay Dee 50,Jay Dee 51,Jay Dee 52,Jay Dee 53,Jay Dee 54
Best Of November 2015	Last Breath [Prod by Metro Boomin & Ludwig Goransson] From the Motion Picture Soundtrack "Creed",Young Thug - Hercules [Prod. By Metro Boomin],Angels. (Freestyle) -Jules Henley,Logic - Fade Away,Ralph Bandz ft Laken Hil - Real Shit,Juicy J - Ain't Fukin Wit Cha Feat Logic ( Produced By WondaGurl ),Pimp C - Friends feat. Juicy J and Nas,twitter fingers,"10 Times" feat. Gucci Mane & E-40 (produced by Sid "Speakerbomb" Miller),Jabroni feat Migos & Mac Miller,Raven Felix ft. Wiz Khalifa - "All On You" (Prod by Lil Jon & Mike Free),PLUG FT KODAK BLACK & CASH CARTI PROD BY MEXIKODRO,Broad Shoulders ft. Chance The Rapper,Fetty Wap - Grandma Prd by AceSwagBeatz,Kendrick Lamar - Black Friday
B.o.B "No Genre" Full Length Mixtape	01 Beast Mode,02 So So,03 How U Do That,04 Feet Don't Fail Me Now F. T.I. & Spodee,05 Higher F. Playboy Tre, CyHi Da Prynce & Bun B,06 Shoot Up The Station,07 Not Lost F. T.I.,08 Cold As Ice,09 The Watchers,10 Batman Flow F. Donnis,11 American Dreamin',13 Dr. Aden,14 Attraction,15 Game Time
Bucket List Project	In Loving Memory [Prod. by Phoelix and Saba],Stoney (Feat. Phoelix & BJRKNC) [Prod. by Phoelix and Saba],GPS(Feat. Twista) [Prod. by Cam O'bi],Church / Liquor Store (Feat. Noname) [Prod. by Cam O'bi],Westside Bound 3 (Feat. Joseph Chilliams) [Prod. by Joseph Chilliams and daedaeCHAD],MOST [Prod. by Saba],Symmetry [Prod. by Ken Ross],Photosynthesis (Feat. Jean Deaux) [Prod. by Phoelix and Saba],The Billy Williams Story [Prod. by Flex Lennon and SqueakPIVOT],Bucket List (Feat. Matthew Santos) [Prod. by daedaeCHAD and Cory Grindberg],American Hypnosis (Feat. Akenya) [Prod. by Phoelix and Saba],California (Feat. Ravyn Lenae & Phoelix) [Prod. by Monte Booker & Phoelix]/"Outro" by Phoelix & Saba,World In My Hands (Feat. Smino & LEGIT) [Prod. by Saba, Phoelix, and daedaeCHAD]
beauty inside	call me. [w/ keshi],ineedyou.,Ay Girl Feat. THAMA,Time (Avail. on Spotify and Apple Music),as long as it takes you,her (on spotify and apple music),JUNE - Lonely(Feat. P.odd) Demo 2,limbo (w/ haventseenyou , hoiwave),7teen (ON SPOTIFY AND APPLE MUSIC),sunkissed (ft. pluto & lovemark),shinjuku,Cayman Islands (cover),she likes me but i dont like her back.,ok2222 x keshi - beside you,Sugar n Spice
